CED_NAME21	AgeStudent	students
Banks	0-4	2718
Banks	5-14	17907
Banks	15-19	7795
Banks	20-24	5546
Banks	25+	6975
Barton	0-4	2905
Barton	5-14	16539
Barton	15-19	7001
Barton	20-24	7371
Barton	25+	11659
Bennelong	0-4	3375
Bennelong	5-14	21145
Bennelong	15-19	8432
Bennelong	20-24	7254
Bennelong	25+	11350
Berowra	0-4	2636
Berowra	5-14	21149
Berowra	15-19	9501
Berowra	20-24	4861
Berowra	25+	5451
Blaxland	0-4	3186
Blaxland	5-14	22403
Blaxland	15-19	9314
Blaxland	20-24	7511
Blaxland	25+	9049
Bradfield	0-4	3135
Bradfield	5-14	23468
Bradfield	15-19	10539
Bradfield	20-24	5898
Bradfield	25+	7137
Calare	0-4	2925
Calare	5-14	21047
Calare	15-19	7105
Calare	20-24	2465
Calare	25+	5417
Chifley	0-4	3837
Chifley	5-14	27903
Chifley	15-19	9380
Chifley	20-24	5230
Chifley	25+	8243
Cook	0-4	2734
Cook	5-14	16608
Cook	15-19	7300
Cook	20-24	3591
Cook	25+	4864
Cowper	0-4	2475
Cowper	5-14	18335
Cowper	15-19	6689
Cowper	20-24	2256
Cowper	25+	5695
Cunningham	0-4	2924
Cunningham	5-14	17708
Cunningham	15-19	7917
Cunningham	20-24	6307
Cunningham	25+	7544
Dobell	0-4	3160
Dobell	5-14	19886
Dobell	15-19	7253
Dobell	20-24	2870
Dobell	25+	5262
Eden-Monaro	0-4	2548
Eden-Monaro	5-14	18351
Eden-Monaro	15-19	6430
Eden-Monaro	20-24	2159
Eden-Monaro	25+	5823
Farrer	0-4	2835
Farrer	5-14	19815
Farrer	15-19	7065
Farrer	20-24	2210
Farrer	25+	4925
Fowler	0-4	2149
Fowler	5-14	19190
Fowler	15-19	8941
Fowler	20-24	5358
Fowler	25+	7276
Gilmore	0-4	2518
Gilmore	5-14	16274
Gilmore	15-19	5708
Gilmore	20-24	1798
Gilmore	25+	4540
Grayndler	0-4	2446
Grayndler	5-14	14122
Grayndler	15-19	5300
Grayndler	20-24	4687
Grayndler	25+	9299
Greenway	0-4	4394
Greenway	5-14	28943
Greenway	15-19	9950
Greenway	20-24	5885
Greenway	25+	8652
Hughes	0-4	3273
Hughes	5-14	20258
Hughes	15-19	8263
Hughes	20-24	3721
Hughes	25+	4900
Hume	0-4	3697
Hume	5-14	22695
Hume	15-19	8124
Hume	20-24	2871
Hume	25+	4861
Hunter	0-4	3257
Hunter	5-14	21223
Hunter	15-19	7001
Hunter	20-24	2709
Hunter	25+	5374
Kingsford Smith	0-4	2844
Kingsford Smith	5-14	16852
Kingsford Smith	15-19	7501
Kingsford Smith	20-24	8067
Kingsford Smith	25+	11785
Lindsay	0-4	3900
Lindsay	5-14	24456
Lindsay	15-19	8381
Lindsay	20-24	3952
Lindsay	25+	6553
Lyne	0-4	2173
Lyne	5-14	16404
Lyne	15-19	5671
Lyne	20-24	1529
Lyne	25+	3800
Macarthur	0-4	4476
Macarthur	5-14	28519
Macarthur	15-19	9395
Macarthur	20-24	4386
Macarthur	25+	7537
Mackellar	0-4	2938
Mackellar	5-14	19462
Mackellar	15-19	8523
Mackellar	20-24	4077
Mackellar	25+	5125
Macquarie	0-4	2585
Macquarie	5-14	17516
Macquarie	15-19	7009
Macquarie	20-24	2778
Macquarie	25+	5398
McMahon	0-4	2834
McMahon	5-14	21987
McMahon	15-19	9074
McMahon	20-24	4750
McMahon	25+	6707
Mitchell	0-4	4003
Mitchell	5-14	28290
Mitchell	15-19	11037
Mitchell	20-24	5703
Mitchell	25+	7038
New England	0-4	2514
New England	5-14	18646
New England	15-19	6656
New England	20-24	2282
New England	25+	5093
Newcastle	0-4	2825
Newcastle	5-14	17632
Newcastle	15-19	7529
Newcastle	20-24	7077
Newcastle	25+	8951
North Sydney	0-4	2984
North Sydney	5-14	18141
North Sydney	15-19	7394
North Sydney	20-24	4747
North Sydney	25+	8447
Page	0-4	2517
Page	5-14	18632
Page	15-19	6186
Page	20-24	1792
Page	25+	5204
Parkes	0-4	2823
Parkes	5-14	18151
Parkes	15-19	5062
Parkes	20-24	1447
Parkes	25+	4193
Parramatta	0-4	3741
Parramatta	5-14	22556
Parramatta	15-19	7714
Parramatta	20-24	8045
Parramatta	25+	12338
Paterson	0-4	3332
Paterson	5-14	22034
Paterson	15-19	7033
Paterson	20-24	2806
Paterson	25+	5873
Reid	0-4	3065
Reid	5-14	17523
Reid	15-19	7416
Reid	20-24	9968
Reid	25+	13744
Richmond	0-4	2399
Richmond	5-14	17615
Richmond	15-19	6039
Richmond	20-24	2049
Richmond	25+	6088
Riverina	0-4	2904
Riverina	5-14	19593
Riverina	15-19	6757
Riverina	20-24	2769
Riverina	25+	4871
Robertson	0-4	2731
Robertson	5-14	17042
Robertson	15-19	6572
Robertson	20-24	2879
Robertson	25+	5333
Shortland	0-4	2871
Shortland	5-14	18019
Shortland	15-19	6431
Shortland	20-24	2781
Shortland	25+	4771
Sydney	0-4	1889
Sydney	5-14	7766
Sydney	15-19	4376
Sydney	20-24	12393
Sydney	25+	21931
Warringah	0-4	2827
Warringah	5-14	18345
Warringah	15-19	7697
Warringah	20-24	4049
Warringah	25+	6187
Watson	0-4	2990
Watson	5-14	21096
Watson	15-19	8742
Watson	20-24	6394
Watson	25+	10039
Wentworth	0-4	2413
Wentworth	5-14	13840
Wentworth	15-19	5643
Wentworth	20-24	3737
Wentworth	25+	7693
Werriwa	0-4	3595
Werriwa	5-14	28273
Werriwa	15-19	11659
Werriwa	20-24	5771
Werriwa	25+	6893
Whitlam	0-4	3200
Whitlam	5-14	20291
Whitlam	15-19	7591
Whitlam	20-24	2847
Whitlam	25+	5071
No usual address (NSW)	0-4	65
No usual address (NSW)	5-14	425
No usual address (NSW)	15-19	188
No usual address (NSW)	20-24	130
No usual address (NSW)	25+	337
Aston	0-4	2667
Aston	5-14	17888
Aston	15-19	7961
Aston	20-24	4429
Aston	25+	5796
Ballarat	0-4	2524
Ballarat	5-14	18298
Ballarat	15-19	6857
Ballarat	20-24	2947
Ballarat	25+	5522
Bendigo	0-4	2366
Bendigo	5-14	17629
Bendigo	15-19	6303
Bendigo	20-24	2713
Bendigo	25+	4945
Bruce	0-4	2871
Bruce	5-14	20890
Bruce	15-19	9094
Bruce	20-24	5405
Bruce	25+	7673
Calwell	0-4	3842
Calwell	5-14	26617
Calwell	15-19	9674
Calwell	20-24	5780
Calwell	25+	9049
Casey	0-4	2932
Casey	5-14	19002
Casey	15-19	7644
Casey	20-24	3188
Casey	25+	5038
Chisholm	0-4	2684
Chisholm	5-14	19716
Chisholm	15-19	10369
Chisholm	20-24	9721
Chisholm	25+	9974
Cooper	0-4	2584
Cooper	5-14	14570
Cooper	15-19	6115
Cooper	20-24	5156
Cooper	25+	9905
Corangamite	0-4	2861
Corangamite	5-14	18764
Corangamite	15-19	6845
Corangamite	20-24	3805
Corangamite	25+	5552
Corio	0-4	2691
Corio	5-14	17445
Corio	15-19	7096
Corio	20-24	4082
Corio	25+	6434
Deakin	0-4	3259
Deakin	5-14	19761
Deakin	15-19	8363
Deakin	20-24	4446
Deakin	25+	6580
Dunkley	0-4	2990
Dunkley	5-14	19045
Dunkley	15-19	7315
Dunkley	20-24	3208
Dunkley	25+	5368
Flinders	0-4	2247
Flinders	5-14	15455
Flinders	15-19	6195
Flinders	20-24	2407
Flinders	25+	3921
Fraser	0-4	2634
Fraser	5-14	16587
Fraser	15-19	6950
Fraser	20-24	6061
Fraser	25+	10638
Gellibrand	0-4	4489
Gellibrand	5-14	26964
Gellibrand	15-19	7993
Gellibrand	20-24	4623
Gellibrand	25+	8762
Gippsland	0-4	2187
Gippsland	5-14	16295
Gippsland	15-19	5659
Gippsland	20-24	1670
Gippsland	25+	4180
Goldstein	0-4	2630
Goldstein	5-14	19155
Goldstein	15-19	9402
Goldstein	20-24	5042
Goldstein	25+	5267
Gorton	0-4	3277
Gorton	5-14	24032
Gorton	15-19	9680
Gorton	20-24	5193
Gorton	25+	6457
Hawke	0-4	3436
Hawke	5-14	22650
Hawke	15-19	7588
Hawke	20-24	3267
Hawke	25+	5770
Higgins	0-4	2215
Higgins	5-14	13309
Higgins	15-19	6694
Higgins	20-24	6857
Higgins	25+	8685
Holt	0-4	4053
Holt	5-14	27639
Holt	15-19	9255
Holt	20-24	4873
Holt	25+	8200
Hotham	0-4	3084
Hotham	5-14	19663
Hotham	15-19	8914
Hotham	20-24	8547
Hotham	25+	10470
Indi	0-4	2335
Indi	5-14	17407
Indi	15-19	6433
Indi	20-24	1924
Indi	25+	4684
Isaacs	0-4	3007
Isaacs	5-14	19346
Isaacs	15-19	7934
Isaacs	20-24	4251
Isaacs	25+	5802
Jagajaga	0-4	3058
Jagajaga	5-14	19120
Jagajaga	15-19	8027
Jagajaga	20-24	4532
Jagajaga	25+	6213
Kooyong	0-4	2348
Kooyong	5-14	18715
Kooyong	15-19	10816
Kooyong	20-24	7702
Kooyong	25+	7550
La Trobe	0-4	3800
La Trobe	5-14	24694
La Trobe	15-19	8551
La Trobe	20-24	3853
La Trobe	25+	6694
Lalor	0-4	4456
Lalor	5-14	28796
Lalor	15-19	9050
Lalor	20-24	5749
Lalor	25+	10059
Macnamara	0-4	2240
Macnamara	5-14	11798
Macnamara	15-19	5157
Macnamara	20-24	6108
Macnamara	25+	11981
Mallee	0-4	2413
Mallee	5-14	17951
Mallee	15-19	6142
Mallee	20-24	1721
Mallee	25+	4011
Maribyrnong	0-4	2558
Maribyrnong	5-14	15945
Maribyrnong	15-19	6932
Maribyrnong	20-24	4768
Maribyrnong	25+	6856
McEwen	0-4	3575
McEwen	5-14	23063
McEwen	15-19	8316
McEwen	20-24	3299
McEwen	25+	5436
Melbourne	0-4	1701
Melbourne	5-14	8810
Melbourne	15-19	6639
Melbourne	20-24	17528
Melbourne	25+	21250
Menzies	0-4	2787
Menzies	5-14	19553
Menzies	15-19	9196
Menzies	20-24	6195
Menzies	25+	7507
Monash	0-4	2090
Monash	5-14	15952
Monash	15-19	5672
Monash	20-24	1710
Monash	25+	3818
Nicholls	0-4	2342
Nicholls	5-14	18069
Nicholls	15-19	6580
Nicholls	20-24	2069
Nicholls	25+	4297
Scullin	0-4	3263
Scullin	5-14	20837
Scullin	15-19	8031
Scullin	20-24	5138
Scullin	25+	7541
Wannon	0-4	2200
Wannon	5-14	16563
Wannon	15-19	6180
Wannon	20-24	1650
Wannon	25+	3996
Wills	0-4	2665
Wills	5-14	14600
Wills	15-19	5569
Wills	20-24	6027
Wills	25+	10491
No usual address (Vic.)	0-4	63
No usual address (Vic.)	5-14	407
No usual address (Vic.)	15-19	140
No usual address (Vic.)	20-24	133
No usual address (Vic.)	25+	267
Blair	0-4	3350
Blair	5-14	26585
Blair	15-19	8374
Blair	20-24	2704
Blair	25+	6809
Bonner	0-4	3046
Bonner	5-14	21339
Bonner	15-19	8590
Bonner	20-24	4304
Bonner	25+	6625
Bowman	0-4	2583
Bowman	5-14	19289
Bowman	15-19	7686
Bowman	20-24	2616
Bowman	25+	4708
Brisbane	0-4	2352
Brisbane	5-14	14862
Brisbane	15-19	7962
Brisbane	20-24	9458
Brisbane	25+	14452
Capricornia	0-4	2365
Capricornia	5-14	20043
Capricornia	15-19	6260
Capricornia	20-24	1808
Capricornia	25+	4414
Dawson	0-4	2240
Dawson	5-14	19330
Dawson	15-19	6324
Dawson	20-24	1853
Dawson	25+	4614
Dickson	0-4	2927
Dickson	5-14	22100
Dickson	15-19	8526
Dickson	20-24	3198
Dickson	25+	5783
Fadden	0-4	3415
Fadden	5-14	22949
Fadden	15-19	8373
Fadden	20-24	4117
Fadden	25+	7602
Fairfax	0-4	2563
Fairfax	5-14	20006
Fairfax	15-19	7059
Fairfax	20-24	2528
Fairfax	25+	6164
Fisher	0-4	2574
Fisher	5-14	19776
Fisher	15-19	7558
Fisher	20-24	3045
Fisher	25+	6321
Flynn	0-4	2267
Flynn	5-14	20845
Flynn	15-19	6031
Flynn	20-24	1243
Flynn	25+	4036
Forde	0-4	3684
Forde	5-14	26107
Forde	15-19	8652
Forde	20-24	3246
Forde	25+	6821
Griffith	0-4	2549
Griffith	5-14	17069
Griffith	15-19	8239
Griffith	20-24	8667
Griffith	25+	12576
Groom	0-4	2473
Groom	5-14	20939
Groom	15-19	7750
Groom	20-24	2962
Groom	25+	6769
Herbert	0-4	2705
Herbert	5-14	20403
Herbert	15-19	7411
Herbert	20-24	3687
Herbert	25+	6525
Hinkler	0-4	1862
Hinkler	5-14	16908
Hinkler	15-19	5452
Hinkler	20-24	1248
Hinkler	25+	4117
Kennedy	0-4	2145
Kennedy	5-14	20645
Kennedy	15-19	6159
Kennedy	20-24	1182
Kennedy	25+	4142
Leichhardt	0-4	2343
Leichhardt	5-14	21103
Leichhardt	15-19	6782
Leichhardt	20-24	2201
Leichhardt	25+	7252
Lilley	0-4	2812
Lilley	5-14	17822
Lilley	15-19	6970
Lilley	20-24	4162
Lilley	25+	7888
Longman	0-4	3058
Longman	5-14	23283
Longman	15-19	7716
Longman	20-24	2414
Longman	25+	5759
Maranoa	0-4	1789
Maranoa	5-14	17873
Maranoa	15-19	5002
Maranoa	20-24	1137
Maranoa	25+	3364
McPherson	0-4	2763
McPherson	5-14	19267
McPherson	15-19	7503
McPherson	20-24	3773
McPherson	25+	6937
Moncrieff	0-4	2371
Moncrieff	5-14	15881
Moncrieff	15-19	7094
Moncrieff	20-24	5282
Moncrieff	25+	10306
Moreton	0-4	2822
Moreton	5-14	19410
Moreton	15-19	7864
Moreton	20-24	6732
Moreton	25+	10467
Oxley	0-4	3481
Oxley	5-14	25739
Oxley	15-19	9268
Oxley	20-24	4097
Oxley	25+	7633
Petrie	0-4	3280
Petrie	5-14	23718
Petrie	15-19	8190
Petrie	20-24	3014
Petrie	25+	7023
Rankin	0-4	3263
Rankin	5-14	26598
Rankin	15-19	9181
Rankin	20-24	3645
Rankin	25+	7275
Ryan	0-4	2718
Ryan	5-14	21740
Ryan	15-19	11183
Ryan	20-24	8560
Ryan	25+	9277
Wide Bay	0-4	1592
Wide Bay	5-14	16128
Wide Bay	15-19	5674
Wide Bay	20-24	1168
Wide Bay	25+	3741
Wright	0-4	3019
Wright	5-14	25135
Wright	15-19	8573
Wright	20-24	2579
Wright	25+	5165
No usual address (Qld)	0-4	63
No usual address (Qld)	5-14	721
No usual address (Qld)	15-19	212
No usual address (Qld)	20-24	112
No usual address (Qld)	25+	369
Adelaide	0-4	2734
Adelaide	5-14	18496
Adelaide	15-19	8551
Adelaide	20-24	10044
Adelaide	25+	13413
Barker	0-4	2033
Barker	5-14	19224
Barker	15-19	6692
Barker	20-24	1514
Barker	25+	4018
Boothby	0-4	2654
Boothby	5-14	18096
Boothby	15-19	8113
Boothby	20-24	5839
Boothby	25+	8723
Grey	0-4	2082
Grey	5-14	18862
Grey	15-19	5840
Grey	20-24	1419
Grey	25+	3590
Hindmarsh	0-4	2482
Hindmarsh	5-14	16784
Hindmarsh	15-19	6984
Hindmarsh	20-24	4538
Hindmarsh	25+	7183
Kingston	0-4	2460
Kingston	5-14	19320
Kingston	15-19	7277
Kingston	20-24	3169
Kingston	25+	5977
Makin	0-4	2517
Makin	5-14	20526
Makin	15-19	8075
Makin	20-24	4538
Makin	25+	7218
Mayo	0-4	2220
Mayo	5-14	20196
Mayo	15-19	7720
Mayo	20-24	2756
Mayo	25+	5299
Spence	0-4	2983
Spence	5-14	25314
Spence	15-19	8339
Spence	20-24	3597
Spence	25+	6825
Sturt	0-4	2875
Sturt	5-14	20731
Sturt	15-19	9351
Sturt	20-24	6341
Sturt	25+	9504
No usual address (SA)	0-4	25
No usual address (SA)	5-14	200
No usual address (SA)	15-19	92
No usual address (SA)	20-24	39
No usual address (SA)	25+	94
Brand	0-4	3523
Brand	5-14	25164
Brand	15-19	8097
Brand	20-24	2863
Brand	25+	6169
Burt	0-4	3662
Burt	5-14	25128
Burt	15-19	7895
Burt	20-24	3946
Burt	25+	7135
Canning	0-4	2543
Canning	5-14	19691
Canning	15-19	6538
Canning	20-24	2096
Canning	25+	4268
Cowan	0-4	2929
Cowan	5-14	20016
Cowan	15-19	7778
Cowan	20-24	4593
Cowan	25+	7561
Curtin	0-4	2820
Curtin	5-14	20438
Curtin	15-19	9958
Curtin	20-24	6278
Curtin	25+	7965
Durack	0-4	2922
Durack	5-14	23753
Durack	15-19	6013
Durack	20-24	1272
Durack	25+	5051
Forrest	0-4	2326
Forrest	5-14	20275
Forrest	15-19	6402
Forrest	20-24	1276
Forrest	25+	4279
Fremantle	0-4	3096
Fremantle	5-14	18957
Fremantle	15-19	6962
Fremantle	20-24	4085
Fremantle	25+	6951
Hasluck	0-4	3344
Hasluck	5-14	23132
Hasluck	15-19	8073
Hasluck	20-24	3197
Hasluck	25+	5893
Moore	0-4	2886
Moore	5-14	21467
Moore	15-19	8698
Moore	20-24	4139
Moore	25+	5120
O'Connor	0-4	2354
O'Connor	5-14	19812
O'Connor	15-19	5959
O'Connor	20-24	1182
O'Connor	25+	4076
Pearce	0-4	3833
Pearce	5-14	25950
Pearce	15-19	8971
Pearce	20-24	3809
Pearce	25+	6120
Perth	0-4	2664
Perth	5-14	15046
Perth	15-19	5811
Perth	20-24	5744
Perth	25+	11049
Swan	0-4	2921
Swan	5-14	18297
Swan	15-19	7287
Swan	20-24	7289
Swan	25+	10816
Tangney	0-4	2940
Tangney	5-14	23858
Tangney	15-19	10671
Tangney	20-24	6306
Tangney	25+	7001
No usual address (WA)	0-4	34
No usual address (WA)	5-14	327
No usual address (WA)	15-19	76
No usual address (WA)	20-24	62
No usual address (WA)	25+	169
Migratory - Offshore - Shipping (WA)	25+	17
Bass	0-4	1450
Bass	5-14	11940
Bass	15-19	4591
Bass	20-24	1924
Bass	25+	4629
Braddon	0-4	1307
Braddon	5-14	11891
Braddon	15-19	4286
Braddon	20-24	1098
Braddon	25+	3102
Clark	0-4	1407
Clark	5-14	10929
Clark	15-19	4773
Clark	20-24	3432
Clark	25+	8340
Franklin	0-4	1624
Franklin	5-14	12829
Franklin	15-19	4576
Franklin	20-24	1884
Franklin	25+	4998
Lyons	0-4	1395
Lyons	5-14	12461
Lyons	15-19	3967
Lyons	20-24	1147
Lyons	25+	3036
No usual address (Tas.)	0-4	6
No usual address (Tas.)	5-14	68
No usual address (Tas.)	15-19	36
No usual address (Tas.)	20-24	24
No usual address (Tas.)	25+	50
Lingiari	0-4	2155
Lingiari	5-14	15784
Lingiari	15-19	3715
Lingiari	20-24	849
Lingiari	25+	3979
Solomon	0-4	1965
Solomon	5-14	13189
Solomon	15-19	3991
Solomon	20-24	2087
Solomon	25+	7370
No usual address (NT)	0-4	11
No usual address (NT)	5-14	180
No usual address (NT)	15-19	20
No usual address (NT)	20-24	13
No usual address (NT)	25+	56
Migratory - Offshore - Shipping (NT)	25+	3
Bean	0-4	2643
Bean	5-14	18925
Bean	15-19	6756
Bean	20-24	3583
Bean	25+	7319
Canberra	0-4	1938
Canberra	5-14	13706
Canberra	15-19	7800
Canberra	20-24	8879
Canberra	25+	10620
Fenner	0-4	3338
Fenner	5-14	21417
Fenner	15-19	7116
Fenner	20-24	4815
Fenner	25+	10324
No usual address (ACT)	0-4	7
No usual address (ACT)	5-14	19
No usual address (ACT)	15-19	42
No usual address (ACT)	20-24	29
No usual address (ACT)	25+	21
