GCCSA_NAME21	Age	UsualResidence	persons
Rest of Qld	0-14	Visitor from WA	137
Rest of Qld	0-14	Visitor same SA2	624
Rest of Qld	15-24	Home	287127
Rest of Qld	15-24	Visitor from ACT	91
Rest of Qld	15-24	Visitor from NSW	1336
Rest of Qld	15-24	Visitor from NT	141
Rest of Qld	15-24	Visitor from QLD	16066
Rest of Qld	15-24	Visitor from SA	180
Rest of Qld	15-24	Visitor from TAS	100
Rest of Qld	15-24	Visitor from VIC	605
Rest of Qld	15-24	Visitor from WA	190
Rest of Qld	15-24	Visitor same SA2	705
Rest of Qld	25-34	Home	306715
Rest of Qld	25-34	Visitor from ACT	243
Rest of Qld	25-34	Visitor from NSW	1757
Rest of Qld	25-34	Visitor from NT	214
Rest of Qld	25-34	Visitor from QLD	19513
Rest of Qld	25-34	Visitor from SA	195
Rest of Qld	25-34	Visitor from TAS	225
Rest of Qld	25-34	Visitor from VIC	1071
Rest of Qld	25-34	Visitor from WA	348
Rest of Qld	25-34	Visitor same SA2	669
Rest of Qld	35-44	Home	309797
Rest of Qld	35-44	Visitor from ACT	154
Rest of Qld	35-44	Visitor from NSW	1553
Rest of Qld	35-44	Visitor from NT	148
Rest of Qld	35-44	Visitor from OT	7
Rest of Qld	35-44	Visitor from QLD	16560
Rest of Qld	35-44	Visitor from SA	188
Rest of Qld	35-44	Visitor from TAS	184
Rest of Qld	35-44	Visitor from VIC	960
Rest of Qld	35-44	Visitor from WA	228
Rest of Qld	35-44	Visitor same SA2	543
Rest of Qld	45-54	Home	323888
Rest of Qld	45-54	Visitor from ACT	212
Rest of Qld	45-54	Visitor from NSW	1761
Rest of Qld	45-54	Visitor from NT	200
Rest of Qld	45-54	Visitor from QLD	19547
Rest of Qld	45-54	Visitor from SA	234
Rest of Qld	45-54	Visitor from TAS	274
Rest of Qld	45-54	Visitor from VIC	1193
Rest of Qld	45-54	Visitor from WA	291
Rest of Qld	45-54	Visitor same SA2	654
Rest of Qld	55-64	Home	316544
Rest of Qld	55-64	Visitor from ACT	460
Rest of Qld	55-64	Visitor from NSW	4253
Rest of Qld	55-64	Visitor from NT	181
Rest of Qld	55-64	Visitor from OT	5
Rest of Qld	55-64	Visitor from QLD	22885
Rest of Qld	55-64	Visitor from SA	719
Rest of Qld	55-64	Visitor from TAS	789
Rest of Qld	55-64	Visitor from VIC	4702
Rest of Qld	55-64	Visitor from WA	516
Rest of Qld	55-64	Visitor same SA2	858
Rest of Qld	65-74	Home	269497
Rest of Qld	65-74	Visitor from ACT	647
Rest of Qld	65-74	Visitor from NSW	6734
Rest of Qld	65-74	Visitor from NT	124
Rest of Qld	65-74	Visitor from QLD	18030
Rest of Qld	65-74	Visitor from SA	1508
Rest of Qld	65-74	Visitor from TAS	1386
Rest of Qld	65-74	Visitor from VIC	10115
Rest of Qld	65-74	Visitor from WA	634
Rest of Qld	65-74	Visitor same SA2	915
Rest of Qld	75-84	Home	151730
Rest of Qld	75-84	Visitor from ACT	261
Rest of Qld	75-84	Visitor from NSW	2297
Rest of Qld	75-84	Visitor from NT	37
Rest of Qld	75-84	Visitor from QLD	6417
Rest of Qld	75-84	Visitor from SA	653
Rest of Qld	75-84	Visitor from TAS	555
Rest of Qld	75-84	Visitor from VIC	4557
Rest of Qld	75-84	Visitor from WA	147
Rest of Qld	75-84	Visitor same SA2	627
Rest of Qld	85+	Home	51974
Rest of Qld	85+	Visitor from ACT	25
Rest of Qld	85+	Visitor from NSW	314
Rest of Qld	85+	Visitor from NT	3
Rest of Qld	85+	Visitor from QLD	1941
Rest of Qld	85+	Visitor from SA	77
Rest of Qld	85+	Visitor from TAS	84
Rest of Qld	85+	Visitor from VIC	552
Rest of Qld	85+	Visitor from WA	25
Rest of Qld	85+	Visitor same SA2	238
Migratory - Offshore - Shipping (SA)	25-34	Visitor from SA	4
Migratory - Offshore - Shipping (SA)	35-44	Home	3
Migratory - Offshore - Shipping (SA)	35-44	Visitor from NT	5
Migratory - Offshore - Shipping (SA)	35-44	Visitor from SA	12
Migratory - Offshore - Shipping (SA)	45-54	Home	5
Migratory - Offshore - Shipping (SA)	45-54	Visitor from VIC	3
Greater Adelaide	0-14	Home	233292
Greater Adelaide	0-14	Visitor from ACT	6
Greater Adelaide	0-14	Visitor from NSW	93
Greater Adelaide	0-14	Visitor from NT	52
Greater Adelaide	0-14	Visitor from QLD	35
Greater Adelaide	0-14	Visitor from SA	3842
Greater Adelaide	0-14	Visitor from TAS	9
Greater Adelaide	0-14	Visitor from VIC	98
Greater Adelaide	0-14	Visitor from WA	40
Greater Adelaide	0-14	Visitor same SA2	170
Greater Adelaide	15-24	Home	162797
Greater Adelaide	15-24	Visitor from ACT	13
Greater Adelaide	15-24	Visitor from NSW	177
Greater Adelaide	15-24	Visitor from NT	72
Greater Adelaide	15-24	Visitor from QLD	90
Greater Adelaide	15-24	Visitor from SA	5519
Greater Adelaide	15-24	Visitor from TAS	18
Greater Adelaide	15-24	Visitor from VIC	184
Greater Adelaide	15-24	Visitor from WA	56
Greater Adelaide	15-24	Visitor same SA2	147
Greater Adelaide	25-34	Home	185582
Greater Adelaide	25-34	Visitor from ACT	13
Greater Adelaide	25-34	Visitor from NSW	225
Greater Adelaide	25-34	Visitor from NT	83
Greater Adelaide	25-34	Visitor from QLD	136
Greater Adelaide	25-34	Visitor from SA	5411
Greater Adelaide	25-34	Visitor from TAS	24
Greater Adelaide	25-34	Visitor from VIC	359
Greater Adelaide	25-34	Visitor from WA	87
Greater Adelaide	25-34	Visitor same SA2	144
Greater Adelaide	35-44	Home	178792
Greater Adelaide	35-44	Visitor from ACT	16
Greater Adelaide	35-44	Visitor from NSW	181
Greater Adelaide	35-44	Visitor from NT	63
Greater Adelaide	35-44	Visitor from QLD	100
Greater Adelaide	35-44	Visitor from SA	3818
Greater Adelaide	35-44	Visitor from TAS	31
Greater Adelaide	35-44	Visitor from VIC	219
Greater Adelaide	35-44	Visitor from WA	72
Greater Adelaide	35-44	Visitor same SA2	178
Greater Adelaide	45-54	Home	169226
Greater Adelaide	45-54	Visitor from ACT	18
Greater Adelaide	45-54	Visitor from NSW	172
Greater Adelaide	45-54	Visitor from NT	77
Greater Adelaide	45-54	Visitor from QLD	128
Greater Adelaide	45-54	Visitor from SA	3488
Greater Adelaide	45-54	Visitor from TAS	25
Greater Adelaide	45-54	Visitor from VIC	161
Greater Adelaide	45-54	Visitor from WA	91
Greater Adelaide	45-54	Visitor same SA2	190
Greater Adelaide	55-64	Home	161390
Greater Adelaide	55-64	Visitor from ACT	11
Greater Adelaide	55-64	Visitor from NSW	170
Greater Adelaide	55-64	Visitor from NT	91
Greater Adelaide	55-64	Visitor from QLD	119
Greater Adelaide	55-64	Visitor from SA	3505
Greater Adelaide	55-64	Visitor from TAS	54
Greater Adelaide	55-64	Visitor from VIC	242
Greater Adelaide	55-64	Visitor from WA	91
Greater Adelaide	55-64	Visitor same SA2	242
Greater Adelaide	65-74	Home	134124
Greater Adelaide	65-74	Visitor from ACT	7
Greater Adelaide	65-74	Visitor from NSW	144
Greater Adelaide	65-74	Visitor from NT	50
Greater Adelaide	65-74	Visitor from QLD	102
Greater Adelaide	65-74	Visitor from SA	2850
Greater Adelaide	65-74	Visitor from TAS	46
Greater Adelaide	65-74	Visitor from VIC	159
Greater Adelaide	65-74	Visitor from WA	68
Greater Adelaide	65-74	Visitor same SA2	308
Greater Adelaide	75-84	Home	78627
Greater Adelaide	75-84	Visitor from NSW	43
Greater Adelaide	75-84	Visitor from NT	8
Greater Adelaide	75-84	Visitor from QLD	25
Greater Adelaide	75-84	Visitor from SA	1750
Greater Adelaide	75-84	Visitor from TAS	8
Greater Adelaide	75-84	Visitor from VIC	41
Greater Adelaide	75-84	Visitor from WA	19
Greater Adelaide	75-84	Visitor same SA2	216
Greater Adelaide	85+	Home	34986
Greater Adelaide	85+	Visitor from NSW	7
Greater Adelaide	85+	Visitor from SA	1057
Greater Adelaide	85+	Visitor from VIC	9
Greater Adelaide	85+	Visitor from WA	3
Greater Adelaide	85+	Visitor same SA2	133
Rest of SA	0-14	Home	63431
Rest of SA	0-14	Visitor from NSW	51
Rest of SA	0-14	Visitor from NT	22
Rest of SA	0-14	Visitor from QLD	24
Rest of SA	0-14	Visitor from SA	1477
Rest of SA	0-14	Visitor from TAS	24
Rest of SA	0-14	Visitor from VIC	101
Rest of SA	0-14	Visitor from WA	27
Rest of SA	0-14	Visitor same SA2	105
Rest of SA	15-24	Home	35865
Rest of SA	15-24	Visitor from NSW	49
Rest of SA	15-24	Visitor from NT	25
Rest of SA	15-24	Visitor from QLD	41
Rest of SA	15-24	Visitor from SA	2416
Rest of SA	15-24	Visitor from TAS	19
Rest of SA	15-24	Visitor from VIC	84
Rest of SA	15-24	Visitor from WA	18
Rest of SA	15-24	Visitor same SA2	111
Rest of SA	25-34	Home	38409
Rest of SA	25-34	Visitor from ACT	9
Rest of SA	25-34	Visitor from NSW	70
Rest of SA	25-34	Visitor from NT	34
Rest of SA	25-34	Visitor from QLD	163
Rest of SA	25-34	Visitor from SA	3571
Rest of SA	25-34	Visitor from TAS	47
Rest of SA	25-34	Visitor from VIC	184
Rest of SA	25-34	Visitor from WA	48
Rest of SA	25-34	Visitor same SA2	117
Rest of SA	35-44	Home	39273
Rest of SA	35-44	Visitor from ACT	3
Rest of SA	35-44	Visitor from NSW	109
Rest of SA	35-44	Visitor from NT	48
Rest of SA	35-44	Visitor from QLD	159
Rest of SA	35-44	Visitor from SA	2791
Rest of SA	35-44	Visitor from TAS	35
Rest of SA	35-44	Visitor from VIC	177
Rest of SA	35-44	Visitor from WA	79
Rest of SA	35-44	Visitor same SA2	123
Rest of SA	45-54	Home	46131
Rest of SA	45-54	Visitor from ACT	3
Rest of SA	45-54	Visitor from NSW	92
Rest of SA	45-54	Visitor from NT	37
Rest of SA	45-54	Visitor from QLD	217
Rest of SA	45-54	Visitor from SA	3389
Rest of SA	45-54	Visitor from TAS	60
Rest of SA	45-54	Visitor from VIC	196
Rest of SA	45-54	Visitor from WA	69
Rest of SA	45-54	Visitor same SA2	148
Rest of SA	55-64	Home	53845
Rest of SA	55-64	Visitor from ACT	13
Rest of SA	55-64	Visitor from NSW	176
Rest of SA	55-64	Visitor from NT	61
Rest of SA	55-64	Visitor from QLD	242
Rest of SA	55-64	Visitor from SA	4250
Rest of SA	55-64	Visitor from TAS	118
Rest of SA	55-64	Visitor from VIC	476
Rest of SA	55-64	Visitor from WA	119
Rest of SA	55-64	Visitor same SA2	202
Rest of SA	65-74	Home	50740
Rest of SA	65-74	Visitor from ACT	6
Rest of SA	65-74	Visitor from NSW	211
Rest of SA	65-74	Visitor from NT	33
Rest of SA	65-74	Visitor from QLD	172
Rest of SA	65-74	Visitor from SA	3400
Rest of SA	65-74	Visitor from TAS	157
Rest of SA	65-74	Visitor from VIC	569
Rest of SA	65-74	Visitor from WA	139
Rest of SA	65-74	Visitor same SA2	225
Rest of SA	75-84	Home	29199
Rest of SA	75-84	Visitor from NSW	48
Rest of SA	75-84	Visitor from NT	7
Rest of SA	75-84	Visitor from QLD	24
Rest of SA	75-84	Visitor from SA	1222
Rest of SA	75-84	Visitor from TAS	44
Rest of SA	75-84	Visitor from VIC	128
Rest of SA	75-84	Visitor from WA	21
Rest of SA	75-84	Visitor same SA2	156
Rest of SA	85+	Home	10546
Rest of SA	85+	Visitor from NSW	6
Rest of SA	85+	Visitor from SA	365
Rest of SA	85+	Visitor from VIC	3
Rest of SA	85+	Visitor from WA	6
Rest of SA	85+	Visitor same SA2	68
Migratory - Offshore - Shipping (WA)	15-24	Home	42
Migratory - Offshore - Shipping (WA)	15-24	Visitor from NSW	7
Migratory - Offshore - Shipping (WA)	15-24	Visitor from QLD	4
Migratory - Offshore - Shipping (WA)	15-24	Visitor from VIC	4
Migratory - Offshore - Shipping (WA)	15-24	Visitor from WA	81
Migratory - Offshore - Shipping (WA)	25-34	Home	113
Migratory - Offshore - Shipping (WA)	25-34	Visitor from NSW	3
Migratory - Offshore - Shipping (WA)	25-34	Visitor from NT	17
Migratory - Offshore - Shipping (WA)	25-34	Visitor from QLD	24
Migratory - Offshore - Shipping (WA)	25-34	Visitor from SA	11
Migratory - Offshore - Shipping (WA)	25-34	Visitor from TAS	4
Migratory - Offshore - Shipping (WA)	25-34	Visitor from VIC	8
Migratory - Offshore - Shipping (WA)	25-34	Visitor from WA	342
Migratory - Offshore - Shipping (WA)	35-44	Home	170
Migratory - Offshore - Shipping (WA)	35-44	Visitor from NSW	24
Migratory - Offshore - Shipping (WA)	35-44	Visitor from NT	10
Migratory - Offshore - Shipping (WA)	35-44	Visitor from QLD	68
Migratory - Offshore - Shipping (WA)	35-44	Visitor from SA	20
Migratory - Offshore - Shipping (WA)	35-44	Visitor from TAS	3
Migratory - Offshore - Shipping (WA)	35-44	Visitor from VIC	11
Migratory - Offshore - Shipping (WA)	35-44	Visitor from WA	647
Migratory - Offshore - Shipping (WA)	45-54	Home	111
Migratory - Offshore - Shipping (WA)	45-54	Visitor from NSW	59
Migratory - Offshore - Shipping (WA)	45-54	Visitor from NT	8
Migratory - Offshore - Shipping (WA)	45-54	Visitor from QLD	28
Migratory - Offshore - Shipping (WA)	45-54	Visitor from SA	13
Migratory - Offshore - Shipping (WA)	45-54	Visitor from TAS	18
Migratory - Offshore - Shipping (WA)	45-54	Visitor from VIC	32
Migratory - Offshore - Shipping (WA)	45-54	Visitor from WA	628
Migratory - Offshore - Shipping (WA)	55-64	Home	60
Migratory - Offshore - Shipping (WA)	55-64	Visitor from ACT	6
Migratory - Offshore - Shipping (WA)	55-64	Visitor from NSW	23
Migratory - Offshore - Shipping (WA)	55-64	Visitor from NT	6
Migratory - Offshore - Shipping (WA)	55-64	Visitor from QLD	40
Migratory - Offshore - Shipping (WA)	55-64	Visitor from SA	16
Migratory - Offshore - Shipping (WA)	55-64	Visitor from TAS	18
Migratory - Offshore - Shipping (WA)	55-64	Visitor from VIC	21
Migratory - Offshore - Shipping (WA)	55-64	Visitor from WA	346
Migratory - Offshore - Shipping (WA)	65-74	Home	13
Migratory - Offshore - Shipping (WA)	65-74	Visitor from NSW	22
Migratory - Offshore - Shipping (WA)	65-74	Visitor from QLD	24
Migratory - Offshore - Shipping (WA)	65-74	Visitor from SA	3
Migratory - Offshore - Shipping (WA)	65-74	Visitor from TAS	5
Migratory - Offshore - Shipping (WA)	65-74	Visitor from VIC	8
Migratory - Offshore - Shipping (WA)	65-74	Visitor from WA	104
Migratory - Offshore - Shipping (WA)	75-84	Visitor from WA	29
Greater Perth	0-14	Home	394340
Greater Perth	0-14	Visitor from ACT	20
Greater Perth	0-14	Visitor from NSW	66
Greater Perth	0-14	Visitor from NT	31
Greater Perth	0-14	Visitor from OT	10
Greater Perth	0-14	Visitor from QLD	48
Greater Perth	0-14	Visitor from SA	15
Greater Perth	0-14	Visitor from TAS	22
Greater Perth	0-14	Visitor from VIC	91
Greater Perth	0-14	Visitor from WA	6211
Greater Perth	0-14	Visitor same SA2	295
Greater Perth	15-24	Home	244862
Greater Perth	15-24	Visitor from ACT	26
Greater Perth	15-24	Visitor from NSW	209
Greater Perth	15-24	Visitor from NT	31
Greater Perth	15-24	Visitor from OT	4
Greater Perth	15-24	Visitor from QLD	78
Greater Perth	15-24	Visitor from SA	36
Greater Perth	15-24	Visitor from TAS	25
Greater Perth	15-24	Visitor from VIC	142
Greater Perth	15-24	Visitor from WA	7892
Greater Perth	15-24	Visitor same SA2	249
Greater Perth	25-34	Home	284608
Greater Perth	25-34	Visitor from ACT	56
Greater Perth	25-34	Visitor from NSW	317
Greater Perth	25-34	Visitor from NT	75
Greater Perth	25-34	Visitor from OT	8
Greater Perth	25-34	Visitor from QLD	164
Greater Perth	25-34	Visitor from SA	85
Greater Perth	25-34	Visitor from TAS	44
Greater Perth	25-34	Visitor from VIC	281
Greater Perth	25-34	Visitor from WA	8263
Greater Perth	25-34	Visitor same SA2	340
Greater Perth	35-44	Home	290885
Greater Perth	35-44	Visitor from ACT	39
Greater Perth	35-44	Visitor from NSW	255
Greater Perth	35-44	Visitor from NT	69
Greater Perth	35-44	Visitor from OT	10
Greater Perth	35-44	Visitor from QLD	189
Greater Perth	35-44	Visitor from SA	100
Greater Perth	35-44	Visitor from TAS	45
Greater Perth	35-44	Visitor from VIC	228
Greater Perth	35-44	Visitor from WA	6392
Greater Perth	35-44	Visitor same SA2	350
Greater Perth	45-54	Home	259004
Greater Perth	45-54	Visitor from ACT	29
Greater Perth	45-54	Visitor from NSW	224
Greater Perth	45-54	Visitor from NT	47
Greater Perth	45-54	Visitor from OT	15
Greater Perth	45-54	Visitor from QLD	215
Greater Perth	45-54	Visitor from SA	145
Greater Perth	45-54	Visitor from TAS	57
Greater Perth	45-54	Visitor from VIC	223
Greater Perth	45-54	Visitor from WA	5747
Greater Perth	45-54	Visitor same SA2	308
Greater Perth	55-64	Home	224672
Greater Perth	55-64	Visitor from ACT	21
Greater Perth	55-64	Visitor from NSW	224
Greater Perth	55-64	Visitor from NT	60
Greater Perth	55-64	Visitor from OT	17
Greater Perth	55-64	Visitor from QLD	253
Greater Perth	55-64	Visitor from SA	119
Greater Perth	55-64	Visitor from TAS	93
Greater Perth	55-64	Visitor from VIC	290
Greater Perth	55-64	Visitor from WA	5382
Greater Perth	55-64	Visitor same SA2	440
Greater Perth	65-74	Home	178261
Greater Perth	65-74	Visitor from ACT	15
Greater Perth	65-74	Visitor from NSW	216
Greater Perth	65-74	Visitor from NT	27
Greater Perth	65-74	Visitor from OT	17
Greater Perth	65-74	Visitor from QLD	168
Greater Perth	65-74	Visitor from SA	71
Greater Perth	65-74	Visitor from TAS	127
Greater Perth	65-74	Visitor from VIC	255
Greater Perth	65-74	Visitor from WA	4356
Greater Perth	65-74	Visitor same SA2	481
Greater Perth	75-84	Home	98190
Greater Perth	75-84	Visitor from ACT	4
Greater Perth	75-84	Visitor from NSW	67
Greater Perth	75-84	Visitor from NT	8
Greater Perth	75-84	Visitor from OT	5
Greater Perth	75-84	Visitor from QLD	30
Greater Perth	75-84	Visitor from SA	32
Greater Perth	75-84	Visitor from TAS	28
Greater Perth	75-84	Visitor from VIC	63
Greater Perth	75-84	Visitor from WA	2653
Greater Perth	75-84	Visitor same SA2	343
Greater Perth	85+	Home	39163
Greater Perth	85+	Visitor from NSW	11
Greater Perth	85+	Visitor from QLD	3
Greater Perth	85+	Visitor from SA	5
Greater Perth	85+	Visitor from TAS	7
Greater Perth	85+	Visitor from VIC	10
Greater Perth	85+	Visitor from WA	1415
Greater Perth	85+	Visitor same SA2	156
Rest of WA	0-14	Home	100355
Rest of WA	0-14	Visitor from ACT	45
Rest of WA	0-14	Visitor from NSW	320
Rest of WA	0-14	Visitor from NT	44
Rest of WA	0-14	Visitor from QLD	222
Rest of WA	0-14	Visitor from SA	125
Rest of WA	0-14	Visitor from TAS	54
Rest of WA	0-14	Visitor from VIC	545
Rest of WA	0-14	Visitor from WA	3659
Rest of WA	0-14	Visitor same SA2	197
Rest of WA	15-24	Home	50905
Rest of WA	15-24	Visitor from ACT	13
Rest of WA	15-24	Visitor from NSW	134
Rest of WA	15-24	Visitor from NT	37
Rest of WA	15-24	Visitor from OT	4
Rest of WA	15-24	Visitor from QLD	119
Rest of WA	15-24	Visitor from SA	89
Rest of WA	15-24	Visitor from TAS	36
Rest of WA	15-24	Visitor from VIC	121
Rest of WA	15-24	Visitor from WA	6474
Rest of WA	15-24	Visitor same SA2	175
Rest of WA	25-34	Home	61603
Rest of WA	25-34	Visitor from ACT	15
Rest of WA	25-34	Visitor from NSW	388
Rest of WA	25-34	Visitor from NT	132
Rest of WA	25-34	Visitor from QLD	420
Rest of WA	25-34	Visitor from SA	211
Rest of WA	25-34	Visitor from TAS	96
Rest of WA	25-34	Visitor from VIC	365
Rest of WA	25-34	Visitor from WA	14811
Rest of WA	25-34	Visitor same SA2	211
Rest of WA	35-44	Home	65973
Rest of WA	35-44	Visitor from ACT	41
Rest of WA	35-44	Visitor from NSW	445
Rest of WA	35-44	Visitor from NT	101
Rest of WA	35-44	Visitor from QLD	582
Rest of WA	35-44	Visitor from SA	248
Rest of WA	35-44	Visitor from TAS	102
Rest of WA	35-44	Visitor from VIC	525
Rest of WA	35-44	Visitor from WA	13339
Rest of WA	35-44	Visitor same SA2	197
Rest of WA	45-54	Home	66129
Rest of WA	45-54	Visitor from ACT	22
Rest of WA	45-54	Visitor from NSW	410
Rest of WA	45-54	Visitor from NT	103
Rest of WA	45-54	Visitor from QLD	599
Rest of WA	45-54	Visitor from SA	331
Rest of WA	45-54	Visitor from TAS	120
Rest of WA	45-54	Visitor from VIC	514
Rest of WA	45-54	Visitor from WA	14278
Rest of WA	45-54	Visitor same SA2	265
Rest of WA	55-64	Home	64708
Rest of WA	55-64	Visitor from ACT	41
Rest of WA	55-64	Visitor from NSW	784
Rest of WA	55-64	Visitor from NT	136
Rest of WA	55-64	Visitor from OT	4
Rest of WA	55-64	Visitor from QLD	1037
Rest of WA	55-64	Visitor from SA	573
Rest of WA	55-64	Visitor from TAS	257
Rest of WA	55-64	Visitor from VIC	1103
Rest of WA	55-64	Visitor from WA	14707
Rest of WA	55-64	Visitor same SA2	304
Rest of WA	65-74	Home	50181
Rest of WA	65-74	Visitor from ACT	51
Rest of WA	65-74	Visitor from NSW	913
Rest of WA	65-74	Visitor from NT	53
Rest of WA	65-74	Visitor from OT	10
Rest of WA	65-74	Visitor from QLD	942
Rest of WA	65-74	Visitor from SA	680
Rest of WA	65-74	Visitor from TAS	197
Rest of WA	65-74	Visitor from VIC	1417
Rest of WA	65-74	Visitor from WA	11016
Rest of WA	65-74	Visitor same SA2	338
Rest of WA	75-84	Home	25480
Rest of WA	75-84	Visitor from ACT	3
Rest of WA	75-84	Visitor from NSW	116
Rest of WA	75-84	Visitor from NT	15
Rest of WA	75-84	Visitor from QLD	112
Rest of WA	75-84	Visitor from SA	128
Rest of WA	75-84	Visitor from TAS	26
Rest of WA	75-84	Visitor from VIC	184
Rest of WA	75-84	Visitor from WA	3597
Rest of WA	75-84	Visitor same SA2	191
Rest of WA	85+	Home	8611
Rest of WA	85+	Visitor from NSW	9
Rest of WA	85+	Visitor from QLD	3
Rest of WA	85+	Visitor from SA	6
Rest of WA	85+	Visitor from VIC	14
Rest of WA	85+	Visitor from WA	610
Rest of WA	85+	Visitor same SA2	63
Migratory - Offshore - Shipping (Tas.)	0-14	Visitor from TAS	5
Migratory - Offshore - Shipping (Tas.)	15-24	Visitor from TAS	9
Migratory - Offshore - Shipping (Tas.)	15-24	Visitor from VIC	3
Migratory - Offshore - Shipping (Tas.)	25-34	Home	4
Migratory - Offshore - Shipping (Tas.)	25-34	Visitor from NSW	7
Migratory - Offshore - Shipping (Tas.)	25-34	Visitor from QLD	9
Migratory - Offshore - Shipping (Tas.)	25-34	Visitor from SA	3
Migratory - Offshore - Shipping (Tas.)	25-34	Visitor from TAS	20
Migratory - Offshore - Shipping (Tas.)	25-34	Visitor from VIC	17
Migratory - Offshore - Shipping (Tas.)	35-44	Home	4
Migratory - Offshore - Shipping (Tas.)	35-44	Visitor from NSW	9
Migratory - Offshore - Shipping (Tas.)	35-44	Visitor from QLD	11
Migratory - Offshore - Shipping (Tas.)	35-44	Visitor from TAS	17
Migratory - Offshore - Shipping (Tas.)	35-44	Visitor from VIC	28
Migratory - Offshore - Shipping (Tas.)	35-44	Visitor from WA	5
Migratory - Offshore - Shipping (Tas.)	45-54	Home	7
Migratory - Offshore - Shipping (Tas.)	45-54	Visitor from ACT	3
Migratory - Offshore - Shipping (Tas.)	45-54	Visitor from NSW	10
Migratory - Offshore - Shipping (Tas.)	45-54	Visitor from QLD	8
Migratory - Offshore - Shipping (Tas.)	45-54	Visitor from TAS	47
Migratory - Offshore - Shipping (Tas.)	45-54	Visitor from VIC	18
Migratory - Offshore - Shipping (Tas.)	55-64	Visitor from QLD	9
Migratory - Offshore - Shipping (Tas.)	55-64	Visitor from SA	3
Migratory - Offshore - Shipping (Tas.)	55-64	Visitor from TAS	48
Migratory - Offshore - Shipping (Tas.)	55-64	Visitor from VIC	16
Migratory - Offshore - Shipping (Tas.)	65-74	Visitor from QLD	4
Migratory - Offshore - Shipping (Tas.)	65-74	Visitor from TAS	21
Migratory - Offshore - Shipping (Tas.)	65-74	Visitor from VIC	7
Migratory - Offshore - Shipping (Tas.)	75-84	Visitor from TAS	4
Greater Hobart	0-14	Home	40656
Greater Hobart	0-14	Visitor from ACT	8
Greater Hobart	0-14	Visitor from NSW	14
Greater Hobart	0-14	Visitor from NT	9
Greater Hobart	0-14	Visitor from QLD	13
Greater Hobart	0-14	Visitor from SA	8
Greater Hobart	0-14	Visitor from TAS	745
Greater Hobart	0-14	Visitor from VIC	40
Greater Hobart	0-14	Visitor from WA	17
Greater Hobart	0-14	Visitor same SA2	49
Greater Hobart	15-24	Home	26732
